city,analysis_type,feature_group,feature,generated_feature,window_weeks,n_pairs,pearson_corr,abs_pearson_corr,best_abs_pearson_corr,relative_to_best,city_abs_corr_threshold,selection_cutoff_abs_corr,selection_rank_within_feature,selection_reason
iq,rolling,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_3_mean,3,520,0.25675301485665286,0.25675301485665286,0.2585068973007409,0.9932153359836755,0.15,0.24558155243570384,2,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_6_mean,6,520,0.25162591992022654,0.25162591992022654,0.2585068973007409,0.9733818422163445,0.15,0.24558155243570384,3,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_avg_temp_c,station_avg_temp_c_rolling_10_mean,10,520,0.2251520121433191,0.2251520121433191,0.2251520121433191,1.0,0.15,0.21389441153615313,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_avg_temp_c,station_avg_temp_c_rolling_11_mean,11,520,0.22505131713889343,0.22505131713889343,0.2251520121433191,0.9995527688006556,0.15,0.21389441153615313,2,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_avg_temp_c,station_avg_temp_c_rolling_8_mean,8,520,0.22492433321728827,0.22492433321728827,0.2251520121433191,0.9989887768540754,0.15,0.21389441153615313,3,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_max_temp_c,station_max_temp_c_rolling_11_mean,11,520,0.1876290154494749,0.1876290154494749,0.1876290154494749,1.0,0.15,0.17824756467700115,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_max_temp_c,station_max_temp_c_rolling_10_mean,10,520,0.18566594892685118,0.18566594892685118,0.1876290154494749,0.9895375109338973,0.15,0.17824756467700115,2,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_max_temp_c,station_max_temp_c_rolling_12_mean,12,520,0.18412473368370244,0.18412473368370244,0.1876290154494749,0.9813233483244701,0.15,0.17824756467700115,3,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_min_temp_c,station_min_temp_c_rolling_4_mean,4,520,0.2575030662204318,0.2575030662204318,0.2575030662204318,1.0,0.15,0.2446279129094102,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_min_temp_c,station_min_temp_c_rolling_3_mean,3,520,0.25380422364795197,0.25380422364795197,0.2575030662204318,0.9856357338700057,0.15,0.2446279129094102,2,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_min_temp_c,station_min_temp_c_rolling_5_mean,5,520,0.2536902014814202,0.2536902014814202,0.2575030662204318,0.9851929346124848,0.15,0.2446279129094102,3,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_precip_mm,station_precip_mm_rolling_6_mean,6,520,0.15678054874693392,0.15678054874693392,0.15678054874693392,1.0,0.15,0.15,1,best feature correlation clears city threshold and this candidate is near that feature's best value
iq,rolling,station,station_precip_mm,station_precip_mm_rolling_7_mean,7,520,0.15005727649848694,0.15005727649848694,0.15678054874693392,0.9571166684758878,0.15,0.15,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_14_mean,14,936,0.3090162049046079,0.3090162049046079,0.3090162049046079,1.0,0.2,0.2935653946593775,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_13_mean,13,936,0.3063859810175747,0.3063859810175747,0.3090162049046079,0.9914883949602411,0.2,0.2935653946593775,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_rolling_12_mean,12,936,0.3021009250710474,0.3021009250710474,0.3090162049046079,0.9776216272033526,0.2,0.2935653946593775,3,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_14_mean,14,936,0.3070230247530729,0.3070230247530729,0.3070230247530729,1.0,0.2,0.29167187351541923,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_13_mean,13,936,0.30401603856362147,0.30401603856362147,0.3070230247530729,0.9902059912546629,0.2,0.29167187351541923,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_rolling_12_mean,12,936,0.2992929425998287,0.2992929425998287,0.3070230247530729,0.9748224676000725,0.2,0.29167187351541923,3,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_14_mean,14,936,0.3317020633173035,0.3317020633173035,0.3317020633173035,1.0,0.2,0.3151169601514383,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_13_mean,13,936,0.3282831042107138,0.3282831042107138,0.3317020633173035,0.9896926806170658,0.2,0.3151169601514383,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_rolling_12_mean,12,936,0.3238089667923314,0.3238089667923314,0.3317020633173035,0.9762042585866533,0.2,0.3151169601514383,3,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_rolling_14_mean,14,936,0.32295907131652524,0.32295907131652524,0.32295907131652524,1.0,0.2,0.30681111775069897,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_rolling_13_mean,13,936,0.3196470301175925,0.3196470301175925,0.32295907131652524,0.989744702988427,0.2,0.30681111775069897,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_rolling_12_mean,12,936,0.31467703718051365,0.31467703718051365,0.32295907131652524,0.9743557779558558,0.2,0.30681111775069897,3,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_rolling_14_mean,14,936,0.3328728778814477,0.3328728778814477,0.3328728778814477,1.0,0.2,0.3162292339873753,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_rolling_13_mean,13,936,0.32918950983923206,0.32918950983923206,0.3328728778814477,0.9889346105166085,0.2,0.3162292339873753,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_rolling_12_mean,12,936,0.3243370104591888,0.3243370104591888,0.3328728778814477,0.9743569753216753,0.2,0.3162292339873753,3,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_precip_amt_kg_per_m2,reanalysis_precip_amt_kg_per_m2_rolling_9_mean,9,936,0.21473629833128174,0.21473629833128174,0.21473629833128174,1.0,0.2,0.20399948341471766,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_precip_amt_kg_per_m2,reanalysis_precip_amt_kg_per_m2_rolling_10_mean,10,936,0.21449778707211878,0.21449778707211878,0.21473629833128174,0.9988892829902702,0.2,0.20399948341471766,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_precip_amt_kg_per_m2,reanalysis_precip_amt_kg_per_m2_rolling_8_mean,8,936,0.21357312160876024,0.21357312160876024,0.21473629833128174,0.9945832319381467,0.2,0.20399948341471766,3,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_relative_humidity_percent,reanalysis_relative_humidity_percent_rolling_14_mean,14,936,0.2586429458997727,0.2586429458997727,0.2586429458997727,1.0,0.2,0.24571079860478406,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_relative_humidity_percent,reanalysis_relative_humidity_percent_rolling_13_mean,13,936,0.25620141439831334,0.25620141439831334,0.2586429458997727,0.9905602238910258,0.2,0.24571079860478406,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_relative_humidity_percent,reanalysis_relative_humidity_percent_rolling_12_mean,12,936,0.254049603287802,0.254049603287802,0.2586429458997727,0.9822406035626015,0.2,0.24571079860478406,3,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_14_mean,14,936,0.3291767146411031,0.3291767146411031,0.3291767146411031,1.0,0.2,0.31271787890904795,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_13_mean,13,936,0.3263028106554814,0.3263028106554814,0.3291767146411031,0.9912694189540256,0.2,0.31271787890904795,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_12_mean,12,936,0.32235440801054177,0.32235440801054177,0.3291767146411031,0.9792746378248547,0.2,0.31271787890904795,3,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,station,station_avg_temp_c,station_avg_temp_c_rolling_14_mean,14,936,0.38583343222279104,0.38583343222279104,0.38583343222279104,1.0,0.2,0.36654176061165145,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,station,station_avg_temp_c,station_avg_temp_c_rolling_13_mean,13,936,0.3769563350810084,0.3769563350810084,0.38583343222279104,0.9769924107129816,0.2,0.36654176061165145,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,station,station_avg_temp_c,station_avg_temp_c_rolling_12_mean,12,936,0.36669285965393517,0.36669285965393517,0.38583343222279104,0.9503916172878364,0.2,0.36654176061165145,3,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,station,station_max_temp_c,station_max_temp_c_rolling_14_mean,14,936,0.3810753476840157,0.3810753476840157,0.3810753476840157,1.0,0.2,0.3620215802998149,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,station,station_max_temp_c,station_max_temp_c_rolling_13_mean,13,936,0.37128490681201487,0.37128490681201487,0.3810753476840157,0.9743083856473472,0.2,0.3620215802998149,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,station,station_min_temp_c,station_min_temp_c_rolling_14_mean,14,936,0.3949923294972017,0.3949923294972017,0.3949923294972017,1.0,0.2,0.3752427130223416,1,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,station,station_min_temp_c,station_min_temp_c_rolling_13_mean,13,936,0.38611695048104444,0.38611695048104444,0.3949923294972017,0.977530249695089,0.2,0.3752427130223416,2,best feature correlation clears city threshold and this candidate is near that feature's best value
sj,rolling,station,station_min_temp_c,station_min_temp_c_rolling_12_mean,12,936,0.37569306953758425,0.37569306953758425,0.3949923294972017,0.9511401652174256,0.2,0.3752427130223416,3,best feature correlation clears city threshold and this candidate is near that feature's best value
