city,transform,feature_group,feature,generated_feature,parameter_weeks,source_analysis_type,pearson_corr,abs_pearson_corr,best_abs_pearson_corr,relative_to_best,city_abs_corr_threshold,selection_cutoff_abs_corr
iq,rolling_mean,reanalysis,reanalysis_sat_precip_amt_mm,reanalysis_sat_precip_amt_mm_rolling_7_mean,7,rolling,0.16137445854170065,0.16137445854170065,0.16137445854170065,1.0,0.15,0.1533057356146156
iq,rolling_mean,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_3_mean,3,rolling,0.25675301485665286,0.25675301485665286,0.2585068973007409,0.9932153359836755,0.15,0.24558155243570384
iq,rolling_mean,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_4_mean,4,rolling,0.2585068973007409,0.2585068973007409,0.2585068973007409,1.0,0.15,0.24558155243570384
iq,rolling_mean,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_rolling_6_mean,6,rolling,0.25162591992022654,0.25162591992022654,0.2585068973007409,0.9733818422163445,0.15,0.24558155243570384
iq,rolling_mean,station,station_avg_temp_c,station_avg_temp_c_rolling_8_mean,8,rolling,0.22492433321728827,0.22492433321728827,0.2251520121433191,0.9989887768540754,0.15,0.21389441153615313
iq,rolling_mean,station,station_avg_temp_c,station_avg_temp_c_rolling_10_mean,10,rolling,0.2251520121433191,0.2251520121433191,0.2251520121433191,1.0,0.15,0.21389441153615313
iq,rolling_mean,station,station_avg_temp_c,station_avg_temp_c_rolling_11_mean,11,rolling,0.22505131713889343,0.22505131713889343,0.2251520121433191,0.9995527688006556,0.15,0.21389441153615313
iq,rolling_mean,station,station_max_temp_c,station_max_temp_c_rolling_10_mean,10,rolling,0.18566594892685118,0.18566594892685118,0.1876290154494749,0.9895375109338973,0.15,0.17824756467700115
iq,rolling_mean,station,station_max_temp_c,station_max_temp_c_rolling_11_mean,11,rolling,0.1876290154494749,0.1876290154494749,0.1876290154494749,1.0,0.15,0.17824756467700115
iq,rolling_mean,station,station_max_temp_c,station_max_temp_c_rolling_12_mean,12,rolling,0.18412473368370244,0.18412473368370244,0.1876290154494749,0.9813233483244701,0.15,0.17824756467700115
iq,rolling_mean,station,station_min_temp_c,station_min_temp_c_rolling_3_mean,3,rolling,0.25380422364795197,0.25380422364795197,0.2575030662204318,0.9856357338700057,0.15,0.2446279129094102
iq,rolling_mean,station,station_min_temp_c,station_min_temp_c_rolling_4_mean,4,rolling,0.2575030662204318,0.2575030662204318,0.2575030662204318,1.0,0.15,0.2446279129094102
iq,rolling_mean,station,station_min_temp_c,station_min_temp_c_rolling_5_mean,5,rolling,0.2536902014814202,0.2536902014814202,0.2575030662204318,0.9851929346124848,0.15,0.2446279129094102
iq,rolling_mean,station,station_precip_mm,station_precip_mm_rolling_6_mean,6,rolling,0.15678054874693392,0.15678054874693392,0.15678054874693392,1.0,0.15,0.15
iq,rolling_mean,station,station_precip_mm,station_precip_mm_rolling_7_mean,7,rolling,0.15005727649848694,0.15005727649848694,0.15678054874693392,0.9571166684758878,0.15,0.15
sj,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_7,7,lag,0.29633400938046406,0.29633400938046406,0.298098339339896,0.9940813827969024,0.2,0.2831934223729012
sj,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_8,8,lag,0.298098339339896,0.298098339339896,0.298098339339896,1.0,0.2,0.2831934223729012
sj,lag,reanalysis,reanalysis_air_temp_k,reanalysis_air_temp_k_lag_9,9,lag,0.2919818826989951,0.2919818826989951,0.298098339339896,0.9794817486925789,0.2,0.2831934223729012
sj,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_7,7,lag,0.2922523921835181,0.2922523921835181,0.29515092567828105,0.9901794870265039,0.2,0.280393379394367
sj,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_8,8,lag,0.29515092567828105,0.29515092567828105,0.29515092567828105,1.0,0.2,0.280393379394367
sj,lag,reanalysis,reanalysis_avg_temp_k,reanalysis_avg_temp_k_lag_9,9,lag,0.2899874779800373,0.2899874779800373,0.29515092567828105,0.9825057377462811,0.2,0.280393379394367
sj,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_7,7,lag,0.2979377159676451,0.2979377159676451,0.3024233495310611,0.9851677009385307,0.2,0.287302182054508
sj,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_8,8,lag,0.3024233495310611,0.3024233495310611,0.3024233495310611,1.0,0.2,0.287302182054508
sj,lag,reanalysis,reanalysis_dew_point_temp_k,reanalysis_dew_point_temp_k_lag_9,9,lag,0.2991373823814483,0.2991373823814483,0.3024233495310611,0.9891345454816634,0.2,0.287302182054508
sj,lag,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_lag_6,6,lag,0.290679907623336,0.290679907623336,0.29595161749391985,0.9821872577848231,0.2,0.28115403661922383
sj,lag,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_lag_7,7,lag,0.29595161749391985,0.29595161749391985,0.29595161749391985,1.0,0.2,0.28115403661922383
sj,lag,reanalysis,reanalysis_max_air_temp_k,reanalysis_max_air_temp_k_lag_8,8,lag,0.2947054229432161,0.2947054229432161,0.29595161749391985,0.9957891949999924,0.2,0.28115403661922383
sj,lag,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_lag_7,7,lag,0.30315738283011495,0.30315738283011495,0.3033738996026539,0.9992863038882959,0.2,0.2882052046225212
sj,lag,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_lag_8,8,lag,0.3033738996026539,0.3033738996026539,0.3033738996026539,1.0,0.2,0.2882052046225212
sj,lag,reanalysis,reanalysis_min_air_temp_k,reanalysis_min_air_temp_k_lag_9,9,lag,0.29913423425049523,0.29913423425049523,0.3033738996026539,0.9860249502092581,0.2,0.2882052046225212
sj,lag,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_lag_7,7,lag,0.29844719448002566,0.29844719448002566,0.3020744523022654,0.9879921728084102,0.2,0.2869707296871521
sj,lag,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_lag_8,8,lag,0.3020744523022654,0.3020744523022654,0.3020744523022654,1.0,0.2,0.2869707296871521
sj,lag,reanalysis,reanalysis_specific_humidity_g_per_kg,reanalysis_specific_humidity_g_per_kg_lag_9,9,lag,0.2977970646459852,0.2977970646459852,0.3020744523022654,0.9858399556014089,0.2,0.2869707296871521
sj,lag,station,station_avg_temp_c,station_avg_temp_c_lag_9,9,lag,0.36738031344006805,0.36738031344006805,0.3692731089558227,0.9948742665798037,0.2,0.35080945350803155
