city,scenario,rows,train_rows,test_rows,feature_count,folds,roc_auc_mean,roc_auc_std,average_precision_mean,balanced_accuracy_mean,log_loss_mean
iq,weather_only,676,520,156,20,5,0.739423076923077,0.046287955689482255,0.902487270427866,0.6331653225806452,0.5165028947769688
iq,weather_plus_seasonality,676,520,156,22,5,0.7409429280397022,0.05606444276577995,0.8992791048156861,0.6295983250620347,0.5158827368606447
sj,weather_only,1196,936,260,20,5,0.8685925151194238,0.014695487811466545,0.9601372516169784,0.7489342009679932,0.3715961274222097
sj,weather_plus_seasonality,1196,936,260,22,5,0.8715549156725627,0.0201150843019782,0.9603699908782382,0.7606914674812046,0.36956127764923324
