city,loss,feature,importance_gain,importance_split
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_12,454.24803829193115,27
sj,l1,reanalysis_air_temp_k,448.40601873397827,39
sj,l1,reanalysis_dew_point_temp_k_lag_6,444.89256143569946,45
sj,l1,station_avg_temp_c_lag_10,443.38089418411255,46
sj,l1,reanalysis_min_air_temp_k_lag_8,440.5720624923706,49
sj,l1,reanalysis_air_temp_k_rolling_14_mean,434.5183024406433,42
sj,l1,reanalysis_min_air_temp_k_rolling_12_mean,427.393527507782,46
sj,l1,reanalysis_dew_point_temp_k_lag_12,418.8695578575134,40
sj,l1,station_avg_temp_c,414.78169107437134,50
sj,l1,station_avg_temp_c_lag_5,411.7418222427368,45
sj,l1,reanalysis_avg_temp_k_rolling_14_mean,405.8023796081543,40
sj,l1,station_max_temp_c_lag_10,400.6605200767517,28
sj,l1,reanalysis_air_temp_k_rolling_12_mean,394.2709903717041,39
sj,l1,reanalysis_air_temp_k_lag_12,393.8103313446045,34
sj,l1,reanalysis_avg_temp_k,382.91553831100464,39
sj,l1,reanalysis_max_air_temp_k_lag_8,381.7105793952942,42
sj,l1,reanalysis_avg_temp_k_lag_8,378.97607231140137,40
sj,l1,reanalysis_min_air_temp_k_lag_2,376.2854290008545,44
sj,l1,reanalysis_min_air_temp_k_rolling_10_mean,374.1309142112732,36
sj,l1,reanalysis_air_temp_k_rolling_10_mean,373.3427391052246,32
sj,l1,reanalysis_min_air_temp_k_rolling_5_mean,372.00950145721436,39
sj,l1,station_max_temp_c_rolling_8_mean,365.93013763427734,39
sj,l1,station_max_temp_c_lag_12,364.7762403488159,28
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_10,359.1263108253479,35
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_1,352.879497051239,38
sj,l1,reanalysis_max_air_temp_k_lag_6,352.44031953811646,40
sj,l1,reanalysis_relative_humidity_percent,348.9061088562012,42
sj,l1,reanalysis_min_air_temp_k_lag_5,348.0358691215515,39
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_14_mean,346.91495084762573,29
sj,l1,station_avg_temp_c_lag_8,343.83553075790405,39
sj,l1,station_max_temp_c_rolling_12_mean,343.29800844192505,34
sj,l1,reanalysis_dew_point_temp_k_lag_2,341.9956707954407,37
sj,l1,reanalysis_avg_temp_k_rolling_8_mean,337.14940118789673,31
sj,l1,reanalysis_max_air_temp_k_rolling_14_mean,336.5214409828186,35
sj,l1,reanalysis_max_air_temp_k,331.3254199028015,36
sj,l1,station_avg_temp_c_rolling_10_mean,327.6883487701416,31
sj,l1,reanalysis_air_temp_k_lag_10,327.1149184703827,35
sj,l1,station_avg_temp_c_lag_4,319.9412498474121,35
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_5,319.27887058258057,32
sj,l1,station_avg_temp_c_rolling_6_mean,314.4075803756714,31
sj,l1,station_min_temp_c_rolling_8_mean,310.13680839538574,30
sj,l1,reanalysis_avg_temp_k_lag_10,302.3733615875244,34
sj,l1,reanalysis_avg_temp_k_rolling_12_mean,300.1144480705261,24
sj,l1,reanalysis_max_air_temp_k_rolling_10_mean,299.49824047088623,29
sj,l1,reanalysis_dew_point_temp_k,289.3433413505554,28
sj,l1,station_avg_temp_c_rolling_5_mean,285.4579610824585,29
sj,l1,station_avg_temp_c_rolling_4_mean,267.9290795326233,28
sj,l1,station_avg_temp_c_rolling_8_mean,266.0351710319519,25
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_6_mean,265.3538098335266,24
sj,l1,reanalysis_avg_temp_k_lag_6,264.3567295074463,28
sj,l1,reanalysis_max_air_temp_k_rolling_8_mean,261.3152313232422,25
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_8,250.36415004730225,26
sj,l1,reanalysis_min_air_temp_k_lag_10,250.3173689842224,29
sj,l1,reanalysis_dew_point_temp_k_lag_1,249.6051812171936,30
sj,l1,reanalysis_min_air_temp_k_lag_1,249.21546983718872,28
sj,l1,reanalysis_specific_humidity_g_per_kg,245.6725001335144,26
sj,l1,reanalysis_air_temp_k_lag_6,244.4594497680664,29
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_12_mean,244.04673051834106,25
sj,l1,weekofyear_sin,242.3991813659668,23
sj,l1,reanalysis_min_air_temp_k_rolling_8_mean,238.92240047454834,27
sj,l1,station_avg_temp_c_rolling_14_mean,231.77993965148926,23
sj,l1,reanalysis_min_air_temp_k_lag_3,231.35933113098145,27
sj,l1,station_min_temp_c_rolling_4_mean,230.57722854614258,25
sj,l1,reanalysis_dew_point_temp_k_rolling_12_mean,227.43174982070923,22
sj,l1,reanalysis_dew_point_temp_k_rolling_3_mean,221.71008968353271,23
sj,l1,reanalysis_min_air_temp_k_lag_12,209.33259963989258,24
sj,l1,station_min_temp_c,206.22233963012695,22
sj,l1,station_min_temp_c_rolling_6_mean,205.98410844802856,19
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_10_mean,204.25258827209473,22
sj,l1,station_min_temp_c_rolling_10_mean,200.17215156555176,20
