component,explained_variance_ratio,cumulative_explained_variance
1,0.30790308830439056,0.30790308830439056
2,0.1032865266118149,0.4111896149162054
3,0.05816935142713424,0.4693589663433397
4,0.03603442396038466,0.5053933903037243
5,0.022455734407227916,0.5278491247109522
6,0.0205508171476944,0.5483999418586466
7,0.01657711106586027,0.5649770529245068
8,0.015514300109829652,0.5804913530343365
9,0.013617193763597416,0.5941085467979339
10,0.012705681091180468,0.6068142278891143
11,0.012194002902346351,0.6190082307914607
12,0.011794090510760552,0.6308023213022212
13,0.011154706493247978,0.6419570277954693
14,0.010623862440531014,0.6525808902360003
15,0.010042585501609375,0.6626234757376097
16,0.009697928612389564,0.6723214043499993
17,0.008968990217048745,0.6812903945670481
18,0.008862614783889519,0.6901530093509376
19,0.008679041260918246,0.6988320506118558
20,0.007927443275705867,0.7067594938875617
21,0.007617540185816112,0.7143770340733777
22,0.006989912879413013,0.7213669469527907
23,0.0067544543109616505,0.7281214012637524
24,0.0064583180887411926,0.7345797193524936
25,0.006136972283909222,0.7407166916364027
26,0.005796773290143274,0.746513464926546
27,0.005524414001811569,0.7520378789283576
28,0.005111301019022656,0.7571491799473803
29,0.00502562089431758,0.7621748008416979
30,0.004865120095924812,0.7670399209376226
31,0.004765174775610176,0.7718050957132329
32,0.004693024668135964,0.7764981203813688
33,0.004632098081037332,0.7811302184624062
34,0.004583660416212627,0.7857138788786188
35,0.004474472155130435,0.7901883510337492
36,0.004385058160933608,0.7945734091946828
37,0.0043095089165828835,0.7988829181112657
38,0.004165242648107016,0.8030481607593727
39,0.004097891652637063,0.8071460524120098
40,0.004002241598804197,0.811148294010814
41,0.0038923060038635374,0.8150406000146776
42,0.003783287583943943,0.8188238875986216
43,0.0037057633744934353,0.822529650973115
44,0.0036153912790989236,0.826145042252214
45,0.0035961426180107256,0.8297411848702247
46,0.0035153176333022527,0.833256502503527
47,0.0033889435713958527,0.8366454460749229
48,0.0032990103536142405,0.8399444564285371
49,0.003225808632441573,0.8431702650609787
50,0.0031550652086550952,0.8463253302696337
51,0.003077138233411192,0.8494024685030449
52,0.003020376788863579,0.8524228452919085
53,0.0030147073528799537,0.8554375526447885
54,0.002970481014004535,0.858408033658793
55,0.0028932509872496947,0.8613012846460427
56,0.0027790684903387154,0.8640803531363814
57,0.002758661365683161,0.8668390145020646
58,0.0026180561576351173,0.8694570706596997
59,0.0025729847505899933,0.8720300554102897
60,0.0025408996942052654,0.8745709551044949
61,0.002465057420756286,0.8770360125252512
62,0.002418551133828882,0.87945456365908
63,0.0023643009936114593,0.8818188646526915
64,0.0023306549069044406,0.884149519559596
65,0.0022953850993018064,0.8864449046588978
66,0.002212481065773887,0.8886573857246717
67,0.0021702710966104103,0.8908276568212821
68,0.002127994561952216,0.8929556513832343
69,0.002048163731181016,0.8950038151144153
70,0.002010639374691453,0.8970144544891068
71,0.002000397046998586,0.8990148515361054
72,0.0019682604505848003,0.9009831119866902
73,0.0019293422750628266,0.902912454261753
74,0.0018914383881470326,0.9048038926499
