city,loss,feature,importance_gain,importance_split
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_3,459.9817316532135,62
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_6_mean,452.6815996170044,56
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_5,451.7218191623688,59
sj,l1,station_max_temp_c_lag_10,426.52507519721985,41
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_6,402.981910943985,53
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_14_mean,395.8910903930664,50
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_12_mean,354.6697988510132,42
sj,l1,reanalysis_specific_humidity_g_per_kg,351.1101105213165,51
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_8_mean,331.0353298187256,34
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_4_mean,327.34471130371094,36
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_2,325.204740524292,44
sj,l1,station_max_temp_c_lag_8,323.48578906059265,49
sj,l1,reanalysis_dew_point_temp_k_rolling_12_mean,323.10259199142456,42
sj,l1,station_max_temp_c_lag_12,287.53850960731506,32
sj,l1,weekofyear_sin,269.4607791900635,35
sj,l1,station_max_temp_c_lag_6,227.20080852508545,32
sj,l1,station_min_temp_c_lag_6,219.98508143424988,33
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_10_mean,219.8912491798401,30
sj,l1,station_min_temp_c_lag_10,184.97803020477295,26
sj,l1,station_min_temp_c,184.56289958953857,26
sj,l1,station_min_temp_c_lag_8,149.43148136138916,20
sj,l1,station_min_temp_c_lag_12,118.55763864517212,16
