city,loss,objective,selection_mode,n_trials,mae,selected
sj,tweedie,tweedie,default_params,0,27.502403846153847,False
sj,poisson,poisson,default_params,0,28.475961538461537,False
sj,l1,regression_l1,default_params,0,25.64903846153846,True
iq,tweedie,tweedie,default_params,0,8.51923076923077,False
iq,poisson,poisson,default_params,0,8.286057692307693,False
iq,l1,regression_l1,default_params,0,7.324519230769231,True
