city,loss,feature,importance_gain,importance_split
sj,l1,station_avg_temp_c_rolling_10_mean,833.8662781715393,88
sj,l1,station_avg_temp_c_lag_8,826.2787981033325,102
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_10,791.4559602737427,60
sj,l1,station_avg_temp_c,778.3888521194458,96
sj,l1,reanalysis_dew_point_temp_k_lag_2,754.0417301654816,94
sj,l1,station_avg_temp_c_rolling_12_mean,749.4193959236145,84
sj,l1,reanalysis_dew_point_temp_k_rolling_4_mean,733.2414469718933,81
sj,l1,station_avg_temp_c_lag_6,715.6863403320312,91
sj,l1,reanalysis_min_air_temp_k_diff_2,706.0837378501892,100
sj,l1,reanalysis_dew_point_temp_k_lag_6,691.4594368934631,87
sj,l1,reanalysis_min_air_temp_k_diff_1,690.9952297210693,98
sj,l1,station_max_temp_c_rolling_12_mean,684.5611591339111,77
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_8,638.2708611488342,74
sj,l1,reanalysis_dew_point_temp_k_lag_8,636.5050926208496,79
sj,l1,station_min_temp_c_rolling_12_mean,627.1621861457825,71
sj,l1,reanalysis_dew_point_temp_k_rolling_8_mean,620.3722114562988,68
sj,l1,reanalysis_min_air_temp_k_diff_4,617.0674290657043,90
sj,l1,reanalysis_dew_point_temp_k_rolling_10_mean,557.7999911308289,63
sj,l1,reanalysis_dew_point_temp_k,508.64561891555786,63
sj,l1,reanalysis_specific_humidity_g_per_kg_diff_4,501.803768157959,69
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_6,501.31944942474365,57
sj,l1,reanalysis_dew_point_temp_k_diff_1,489.8155312538147,69
sj,l1,station_avg_temp_c_rolling_14_mean,482.490270614624,56
sj,l1,reanalysis_specific_humidity_g_per_kg_diff_1,480.60922050476074,68
sj,l1,weekofyear_cos,473.7447109222412,54
sj,l1,station_min_temp_c_rolling_10_mean,457.7742118835449,61
sj,l1,reanalysis_dew_point_temp_k_rolling_14_mean,441.09294176101685,50
sj,l1,station_max_temp_c_lag_12,436.87190866470337,38
sj,l1,reanalysis_dew_point_temp_k_diff_4,430.5701985359192,56
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_3,420.1686792373657,55
sj,l1,reanalysis_dew_point_temp_k_rolling_12_mean,414.56393098831177,47
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_5,411.5754985809326,52
sj,l1,station_max_temp_c,397.7905111312866,56
sj,l1,reanalysis_dew_point_temp_k_diff_2,377.7872714996338,51
sj,l1,reanalysis_specific_humidity_g_per_kg_diff_2,364.18658924102783,50
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_6_mean,353.7278895378113,39
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_14_mean,333.43844079971313,40
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_8_mean,321.08071184158325,38
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_12_mean,313.0910892486572,39
sj,l1,reanalysis_specific_humidity_g_per_kg,310.7047920227051,40
sj,l1,reanalysis_specific_humidity_g_per_kg_lag_2,302.93034839630127,38
sj,l1,weekofyear_sin,283.48030042648315,29
sj,l1,station_min_temp_c_lag_12,250.75704860687256,30
sj,l1,station_max_temp_c_lag_8,247.18846082687378,34
sj,l1,station_max_temp_c_lag_10,245.45771884918213,21
sj,l1,station_min_temp_c,245.16655206680298,32
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_4_mean,243.30200910568237,27
sj,l1,reanalysis_specific_humidity_g_per_kg_rolling_10_mean,238.63982772827148,26
sj,l1,station_max_temp_c_lag_6,161.3957085609436,24
sj,l1,station_min_temp_c_lag_6,107.13244962692261,14
sj,l1,station_min_temp_c_lag_8,97.68673992156982,14
sj,l1,station_min_temp_c_lag_10,85.85629987716675,12
