candidate,candidate_label,uses_weather,city,validation_year,train_rows,validation_rows,feature_count,mae
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,iq,2004,182,52,81,10.596153846153847
calendar_l1_raw,Calendar-only L1 baseline,False,iq,2005,234,52,2,3.980769230769231
broad_weather_l1_log,Broad weather L1 model with log1p target,True,iq,2005,234,52,79,3.1153846153846154
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,iq,2005,234,52,81,3.5384615384615383
calendar_l1_raw,Calendar-only L1 baseline,False,iq,2006,286,52,2,6.134615384615385
broad_weather_l1_log,Broad weather L1 model with log1p target,True,iq,2006,286,52,79,5.384615384615385
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,iq,2006,286,52,81,5.6923076923076925
calendar_l1_raw,Calendar-only L1 baseline,False,iq,2007,338,52,2,3.923076923076923
broad_weather_l1_log,Broad weather L1 model with log1p target,True,iq,2007,338,52,79,4.0
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,iq,2007,338,52,81,3.8653846153846154
calendar_l1_raw,Calendar-only L1 baseline,False,iq,2008,390,52,2,13.153846153846153
broad_weather_l1_log,Broad weather L1 model with log1p target,True,iq,2008,390,52,79,13.076923076923077
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,iq,2008,390,52,81,13.115384615384615
calendar_l1_raw,Calendar-only L1 baseline,False,iq,2009,442,52,2,4.134615384615385
broad_weather_l1_log,Broad weather L1 model with log1p target,True,iq,2009,442,52,79,5.384615384615385
calendar_broad_log_blend,Two-thirds calendar plus one-third weather blend,True,iq,2009,442,52,81,4.326923076923077
