city,recent_score_weight,max_city_all_year_mae_over_best,selected_iteration,model_type,all_year_mae,recent_mae,selection_mae,best_city_all_year_mae,all_year_mae_gap,allowed_candidate_count
iq,0.0,0.0,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.766826923076923,6.766826923076923,0.0,1
iq,0.15,0.0,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.704447115384616,6.766826923076923,0.0,1
iq,0.3,0.0,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.642067307692307,6.766826923076923,0.0,1
iq,0.45,0.0,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.5796875,6.766826923076923,0.0,1
iq,0.6,0.0,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.517307692307693,6.766826923076923,0.0,1
iq,0.0,0.2,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.766826923076923,6.766826923076923,0.0,11
iq,0.15,0.2,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.704447115384616,6.766826923076923,0.0,11
iq,0.3,0.2,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.642067307692307,6.766826923076923,0.0,11
iq,0.45,0.2,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.5796875,6.766826923076923,0.0,11
iq,0.6,0.2,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.517307692307693,6.766826923076923,0.0,11
iq,0.0,0.35,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.766826923076923,6.766826923076923,0.0,14
iq,0.15,0.35,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.704447115384616,6.766826923076923,0.0,14
iq,0.3,0.35,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.642067307692307,6.766826923076923,0.0,14
iq,0.45,0.35,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.5796875,6.766826923076923,0.0,14
iq,0.6,0.35,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.517307692307693,6.766826923076923,0.0,14
iq,0.0,0.75,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.766826923076923,6.766826923076923,0.0,46
iq,0.15,0.75,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.704447115384616,6.766826923076923,0.0,46
iq,0.3,0.75,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.642067307692307,6.766826923076923,0.0,46
iq,0.45,0.75,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.5796875,6.766826923076923,0.0,46
iq,0.6,0.75,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.517307692307693,6.766826923076923,0.0,46
iq,0.0,inf,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.766826923076923,6.766826923076923,0.0,47
iq,0.15,inf,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.704447115384616,6.766826923076923,0.0,47
iq,0.3,inf,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.642067307692307,6.766826923076923,0.0,47
iq,0.45,inf,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.5796875,6.766826923076923,0.0,47
iq,0.6,inf,a46_iq_lgbm_rf_frontier_blend,blend,6.766826923076923,6.350961538461538,6.517307692307693,6.766826923076923,0.0,47
sj,0.0,0.0,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,22.44951923076923,22.44951923076923,0.0,1
sj,0.15,0.0,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,21.577283653846152,22.44951923076923,0.0,1
sj,0.3,0.0,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,20.705048076923077,22.44951923076923,0.0,1
sj,0.45,0.0,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,19.8328125,22.44951923076923,0.0,1
sj,0.6,0.0,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,18.96057692307692,22.44951923076923,0.0,1
sj,0.0,0.2,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,22.44951923076923,22.44951923076923,0.0,4
sj,0.15,0.2,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,21.577283653846152,22.44951923076923,0.0,4
sj,0.3,0.2,a47_sj_quantile_lgbm_frontier_blend,blend,22.44951923076923,16.634615384615383,20.705048076923077,22.44951923076923,0.0,4
