city,trial_number,state,mae,objective,n_estimators,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,tweedie_variance_power,subsample_freq,random_state,verbose
sj,0,COMPLETE,35.84375,tweedie,350,0.07220721098226064,48,50,0.6624074561769746,0.662397808134481,0.00018747059221802545,2.142302175774105,1.5207805082202461,1,42,-1
sj,1,COMPLETE,30.006009615384613,tweedie,600,0.010437335666720523,62,68,0.6849356442713105,0.6727299868828402,0.0007274653135669422,0.003320559103751959,1.4673295021425665,1,42,-1
sj,2,COMPLETE,25.073317307692307,tweedie,400,0.0183234024502698,41,15,0.7168578594140872,0.7465447373174766,0.013901420350545918,0.8431013932082458,1.239771647510852,1,42,-1
sj,3,COMPLETE,36.44230769230769,tweedie,450,0.034277067939409996,9,51,0.6682096494749166,0.6260206371941118,2.8759721562259606,6.732248920775334,1.6658781436815229,1,42,-1
sj,4,COMPLETE,26.748798076923077,tweedie,300,0.01225199210177624,46,38,0.6488152939379115,0.798070764044508,0.00014507434860119788,3.520481045526035,1.281145987120012,1,42,-1
sj,5,COMPLETE,36.21153846153847,tweedie,550,0.019120672003192066,36,46,0.6739417822102108,0.9878338511058234,0.4388598863942792,4.983043837494905,1.7263791452993542,1,42,-1
sj,6,COMPLETE,27.91346153846154,tweedie,500,0.06800414597277955,12,19,0.6180909155642152,0.7301321323053057,0.006704755197530222,0.002273762810253686,1.6801162564063505,1,42,-1
sj,7,COMPLETE,22.382211538461537,tweedie,350,0.01793532053620138,37,15,0.9208787923016158,0.6298202574719083,4.338624983446463,0.7264803074826723,1.2391009770739208,1,42,-1
sj,8,COMPLETE,33.26201923076923,tweedie,100,0.05450483770507908,47,60,0.9085081386743783,0.6296178606936361,0.0048352585996829555,0.00037961668958008145,1.7041723981129155,1,42,-1
sj,9,COMPLETE,28.284855769230766,tweedie,550,0.019898974384450128,10,28,0.7300733288106988,0.8918424713352257,0.09905204218383895,2.7293781650374735,1.4305504476133646,1,42,-1
sj,10,COMPLETE,22.419471153846153,tweedie,800,0.033578606341688494,26,6,0.9902173701155406,0.8569379936612884,3.2891730420189633,0.0921510563733697,1.1363903343942146,1,42,-1
sj,11,COMPLETE,20.950721153846153,tweedie,800,0.033199247757701014,26,6,0.9964220890285002,0.8464457121068723,3.5060180891009134,0.12282094370872094,1.1034110728024016,1,42,-1
sj,12,COMPLETE,20.412259615384613,tweedie,750,0.031515875049423214,25,5,0.904917248062167,0.9487283159585305,0.42388473776039415,0.08281115256437804,1.1021764250407862,1,42,-1
sj,13,COMPLETE,20.076923076923077,tweedie,800,0.03405845121702895,25,5,0.8502474999627919,0.9738540701025828,0.28064532064191905,0.07005284420501576,1.1128045006195448,1,42,-1
sj,14,COMPLETE,24.371394230769234,tweedie,700,0.04492569054947072,20,27,0.8240159719065394,0.9915471226952727,0.2257364630074827,0.01959526604090447,1.179386692587418,1,42,-1
sj,15,COMPLETE,21.286057692307693,tweedie,700,0.03959479096481753,21,5,0.8262410704450497,0.93096510661675,0.04373482186548581,0.11124993887951834,1.3371965106383714,1,42,-1
sj,16,COMPLETE,35.60697115384615,tweedie,700,0.026167062604121282,32,79,0.8258039620336107,0.9355468343866319,0.7527547678055779,0.02106777717383142,1.1676572822451883,1,42,-1
sj,17,COMPLETE,25.346153846153847,tweedie,800,0.024811105429492306,18,24,0.8835096892354815,0.93184968223414,0.7690696158745911,0.02056057062668375,1.3053116817747765,1,42,-1
sj,18,COMPLETE,23.552884615384617,tweedie,650,0.052281240197841174,28,12,0.7741747243825821,0.9620660070171467,0.044678665617496074,0.2269102942911507,1.109739956350465,1,42,-1
sj,19,COMPLETE,28.200721153846153,tweedie,750,0.027137970953148852,15,35,0.9565891890332087,0.887650623386112,0.09390987001523138,0.0027454256900195403,1.2044862481775997,1,42,-1
iq,0,COMPLETE,9.942307692307693,tweedie,350,0.07220721098226064,48,50,0.6624074561769746,0.662397808134481,0.00018747059221802545,2.142302175774105,1.5207805082202461,1,42,-1
iq,1,COMPLETE,9.766826923076923,tweedie,600,0.010437335666720523,62,68,0.6849356442713105,0.6727299868828402,0.0007274653135669422,0.003320559103751959,1.4673295021425665,1,42,-1
