city,trial_number,state,mae,selected,n_estimators,max_depth,min_samples_leaf,min_samples_split,max_features,bootstrap,random_state,n_jobs
iq,15,COMPLETE,8.13701923076923,False,500,4.0,6,9,sqrt,True,42,1
iq,16,COMPLETE,8.108173076923077,False,600,4.0,6,7,sqrt,True,42,1
iq,17,COMPLETE,8.44951923076923,False,600,4.0,6,6,1.0,True,42,1
iq,18,COMPLETE,8.084134615384615,False,600,4.0,7,13,log2,False,42,1
iq,19,COMPLETE,8.151442307692308,False,600,6.0,7,14,log2,False,42,1
iq,20,COMPLETE,8.1875,False,600,,7,12,log2,False,42,1
iq,21,COMPLETE,8.125,False,700,4.0,5,6,log2,False,42,1
iq,22,COMPLETE,8.221153846153847,False,600,4.0,6,16,sqrt,False,42,1
iq,23,COMPLETE,8.264423076923077,False,500,4.0,7,8,sqrt,False,42,1
iq,24,COMPLETE,7.990384615384616,False,600,4.0,5,15,log2,True,42,1
iq,25,COMPLETE,7.990384615384616,False,600,4.0,4,15,log2,True,42,1
iq,26,COMPLETE,8.098557692307693,False,700,4.0,4,15,log2,False,42,1
iq,27,COMPLETE,7.983173076923077,True,600,4.0,3,17,log2,True,42,1
iq,28,COMPLETE,8.052884615384617,False,500,,3,20,log2,True,42,1
iq,29,COMPLETE,8.139423076923077,False,700,6.0,2,16,log2,True,42,1
iq,30,COMPLETE,8.004807692307693,False,600,12.0,4,18,log2,True,42,1
iq,31,COMPLETE,8.004807692307693,False,600,12.0,4,18,log2,True,42,1
iq,32,COMPLETE,8.06971153846154,False,600,12.0,3,17,log2,True,42,1
iq,33,COMPLETE,8.004807692307692,False,500,12.0,5,20,log2,True,42,1
iq,34,COMPLETE,8.004807692307692,False,500,,5,20,log2,True,42,1
iq,35,COMPLETE,8.038461538461538,False,500,4.0,3,15,log2,True,42,1
iq,36,COMPLETE,8.600961538461538,False,700,12.0,5,19,1.0,True,42,1
iq,37,COMPLETE,8.014423076923077,False,400,4.0,4,16,log2,True,42,1
iq,38,COMPLETE,8.54326923076923,False,500,12.0,5,13,0.5,True,42,1
iq,39,COMPLETE,8.05048076923077,False,700,4.0,1,19,log2,True,42,1
iq,40,COMPLETE,8.09375,False,300,12.0,3,17,log2,True,42,1
iq,41,COMPLETE,8.004807692307692,False,500,,5,20,log2,True,42,1
iq,42,COMPLETE,8.004807692307692,False,500,,5,20,log2,True,42,1
iq,43,COMPLETE,8.5625,False,600,,4,18,0.5,True,42,1
iq,44,COMPLETE,8.052884615384617,False,400,,5,15,log2,True,42,1
iq,45,COMPLETE,8.752403846153847,False,500,8.0,2,19,0.7,True,42,1
iq,46,COMPLETE,8.076923076923077,False,600,16.0,4,14,log2,True,42,1
iq,47,COMPLETE,8.48076923076923,False,400,4.0,5,17,1.0,True,42,1
iq,48,COMPLETE,8.088942307692307,False,500,6.0,4,11,log2,True,42,1
iq,49,COMPLETE,8.639423076923077,False,100,16.0,3,19,0.7,True,42,1
