city,model,selection_mode,selection_id,grid_index,feature,importance
iq,random_forest,optuna,27,,reanalysis_dew_point_temp_k_rolling_4_mean,0.006487147930402069
iq,random_forest,optuna,27,,reanalysis_avg_temp_k_rolling_12_mean,0.006143939407670093
iq,random_forest,optuna,27,,station_min_temp_c_rolling_3_mean,0.006109854759396291
iq,random_forest,optuna,27,,station_diur_temp_rng_c_lag_27,0.005826274053874464
iq,random_forest,optuna,27,,station_precip_mm_lag_48,0.0057390804718854445
iq,random_forest,optuna,27,,station_avg_temp_c_lag_28,0.005644151104555025
iq,random_forest,optuna,27,,reanalysis_air_temp_k_rolling_12_mean,0.00561134637401658
iq,random_forest,optuna,27,,ndvi_sw_lag_51,0.0055477120168907134
iq,random_forest,optuna,27,,reanalysis_avg_temp_k_lag_55,0.005544869658417589
iq,random_forest,optuna,27,,reanalysis_avg_temp_k_lag_57,0.005537191299718198
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_lag_47,0.005206676273009665
iq,random_forest,optuna,27,,reanalysis_air_temp_k_rolling_13_mean,0.005154012554808584
iq,random_forest,optuna,27,,reanalysis_precip_amt_kg_per_m2_lag_49,0.0050390228904036915
iq,random_forest,optuna,27,,reanalysis_max_air_temp_k_lag_32,0.005033357803062321
iq,random_forest,optuna,27,,reanalysis_avg_temp_k_rolling_13_mean,0.004826468026850357
iq,random_forest,optuna,27,,station_precip_mm_rolling_7_mean,0.004776132017594316
iq,random_forest,optuna,27,,reanalysis_dew_point_temp_k,0.004736472204624947
iq,random_forest,optuna,27,,reanalysis_precip_amt_kg_per_m2_lag_48,0.004728908653439528
iq,random_forest,optuna,27,,reanalysis_dew_point_temp_k_lag_1,0.004714182779687576
iq,random_forest,optuna,27,,ndvi_ne_lag_53,0.004673292852235055
iq,random_forest,optuna,27,,station_precip_mm_lag_49,0.004620666973470018
iq,random_forest,optuna,27,,ndvi_ne_lag_52,0.004586916485938558
iq,random_forest,optuna,27,,reanalysis_tdtr_k_lag_35,0.004402497188470084
iq,random_forest,optuna,27,,reanalysis_air_temp_k_lag_56,0.004379466126589076
iq,random_forest,optuna,27,,ndvi_sw_lag_11,0.0043347389342955085
iq,random_forest,optuna,27,,reanalysis_precip_amt_kg_per_m2_lag_47,0.0042604717863743286
iq,random_forest,optuna,27,,ndvi_nw_lag_53,0.004217087815342343
iq,random_forest,optuna,27,,ndvi_ne_lag_56,0.004216509476114376
iq,random_forest,optuna,27,,reanalysis_tdtr_k_lag_40,0.00408425583317064
iq,random_forest,optuna,27,,reanalysis_air_temp_k_lag_55,0.004042303299466356
iq,random_forest,optuna,27,,reanalysis_tdtr_k_lag_39,0.003978891576430564
iq,random_forest,optuna,27,,ndvi_se_lag_33,0.0039669790273883935
iq,random_forest,optuna,27,,ndvi_se_lag_32,0.0039163943973082715
iq,random_forest,optuna,27,,reanalysis_dew_point_temp_k_lag_43,0.00382306703351923
iq,random_forest,optuna,27,,station_min_temp_c_lag_44,0.0037326415097537246
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_lag_41,0.0037259653502890945
iq,random_forest,optuna,27,,station_diur_temp_rng_c_lag_33,0.003693992766513412
iq,random_forest,optuna,27,,station_min_temp_c_rolling_5_mean,0.0036820360708617545
iq,random_forest,optuna,27,,ndvi_ne_lag_57,0.0036533020080304537
iq,random_forest,optuna,27,,reanalysis_avg_temp_k_rolling_14_mean,0.0035933077196585103
iq,random_forest,optuna,27,,reanalysis_relative_humidity_percent_lag_37,0.00354841914593025
iq,random_forest,optuna,27,,reanalysis_specific_humidity_g_per_kg_lag_1,0.003547356608329948
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_rolling_6_mean,0.0034970991465573475
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_lag_48,0.0033085864036036298
iq,random_forest,optuna,27,,reanalysis_avg_temp_k_lag_53,0.003304447214552914
iq,random_forest,optuna,27,,precipitation_amt_mm_lag_41,0.003217054317735839
iq,random_forest,optuna,27,,reanalysis_specific_humidity_g_per_kg,0.003195432584402138
iq,random_forest,optuna,27,,precipitation_amt_mm_rolling_6_mean,0.003104754317590115
iq,random_forest,optuna,27,,station_min_temp_c_lag_21,0.0029002875213254516
iq,random_forest,optuna,27,,reanalysis_min_air_temp_k_lag_45,0.002878882598616436
iq,random_forest,optuna,27,,reanalysis_max_air_temp_k_lag_35,0.0028290018390613307
iq,random_forest,optuna,27,,ndvi_ne_lag_40,0.00282669314140181
iq,random_forest,optuna,27,,reanalysis_min_air_temp_k_lag_2,0.00277064475239004
iq,random_forest,optuna,27,,ndvi_nw_lag_17,0.0027394089969595744
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_lag_40,0.00273640182350125
iq,random_forest,optuna,27,,precipitation_amt_mm_lag_48,0.0027287601836921164
iq,random_forest,optuna,27,,reanalysis_tdtr_k_lag_41,0.002705861822109762
iq,random_forest,optuna,27,,ndvi_se_lag_31,0.00265791483762656
iq,random_forest,optuna,27,,ndvi_nw_lag_52,0.002642027429186756
iq,random_forest,optuna,27,,reanalysis_tdtr_k_lag_37,0.002641386563174571
iq,random_forest,optuna,27,,reanalysis_avg_temp_k_lag_52,0.0026293438510517756
iq,random_forest,optuna,27,,reanalysis_avg_temp_k_lag_56,0.002603463926334212
iq,random_forest,optuna,27,,reanalysis_min_air_temp_k_lag_44,0.0025905259252604184
iq,random_forest,optuna,27,,ndvi_ne_lag_41,0.0025100632456050206
iq,random_forest,optuna,27,,ndvi_ne_lag_39,0.002401923930650608
iq,random_forest,optuna,27,,precipitation_amt_mm_lag_47,0.0023417125040834973
iq,random_forest,optuna,27,,station_precip_mm_lag_47,0.00232300765252365
iq,random_forest,optuna,27,,station_min_temp_c_lag_20,0.002297434293806261
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_lag_21,0.0022715522902342364
iq,random_forest,optuna,27,,precipitation_amt_mm_lag_49,0.0021484430032015648
iq,random_forest,optuna,27,,ndvi_sw_rolling_13_mean,0.002135938267770116
iq,random_forest,optuna,27,,reanalysis_avg_temp_k_lag_51,0.002034263320983714
iq,random_forest,optuna,27,,precipitation_amt_mm_rolling_7_mean,0.0019462365259072293
iq,random_forest,optuna,27,,station_min_temp_c_lag_43,0.001862892804986032
iq,random_forest,optuna,27,,reanalysis_min_air_temp_k,0.0018392848648992237
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_rolling_7_mean,0.0018223537022316375
iq,random_forest,optuna,27,,station_avg_temp_c_lag_4,0.001738616466648386
iq,random_forest,optuna,27,,ndvi_nw_lag_16,0.0017161294992712472
iq,random_forest,optuna,27,,precipitation_amt_mm_lag_20,0.001704282971795927
iq,random_forest,optuna,27,,station_min_temp_c_lag_45,0.0016299125445034812
iq,random_forest,optuna,27,,precipitation_amt_mm_lag_40,0.0016046303436529068
iq,random_forest,optuna,27,,precipitation_amt_mm_lag_39,0.001566211338616062
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_lag_49,0.0015572774904819937
iq,random_forest,optuna,27,,ndvi_nw_lag_51,0.001553975264365204
iq,random_forest,optuna,27,,ndvi_sw_rolling_14_mean,0.0015284048001801172
iq,random_forest,optuna,27,,station_min_temp_c_lag_1,0.0014318769371566382
iq,random_forest,optuna,27,,ndvi_ne_lag_55,0.0013553993982590197
iq,random_forest,optuna,27,,weekofyear_sin,0.0013243750347809939
iq,random_forest,optuna,27,,precipitation_amt_mm_lag_19,0.0011609287066305894
iq,random_forest,optuna,27,,precipitation_amt_mm_lag_21,0.0011575236745468265
iq,random_forest,optuna,27,,station_min_temp_c,0.0011082249766956535
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_lag_39,0.0010700231963351851
iq,random_forest,optuna,27,,ndvi_ne_lag_51,0.0010562390756020674
iq,random_forest,optuna,27,,reanalysis_min_air_temp_k_lag_43,0.0010420766597504364
iq,random_forest,optuna,27,,ndvi_nw_lag_15,0.0009984973294445882
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_lag_20,0.0008471990521292318
iq,random_forest,optuna,27,,reanalysis_air_temp_k_lag_7,0.0008141249358520433
iq,random_forest,optuna,27,,station_avg_temp_c_lag_5,0.0006858756046775773
iq,random_forest,optuna,27,,reanalysis_sat_precip_amt_mm_lag_19,0.0006784688185156145
sj,random_forest,optuna,34,,station_max_temp_c_rolling_14_mean,0.13584043224987657
sj,random_forest,optuna,34,,reanalysis_dew_point_temp_k_rolling_12_mean,0.105862644691383
sj,random_forest,optuna,34,,reanalysis_specific_humidity_g_per_kg_rolling_12_mean,0.08634591218879399
sj,random_forest,optuna,34,,station_min_temp_c_rolling_14_mean,0.07871575179589252
sj,random_forest,optuna,34,,reanalysis_dew_point_temp_k_rolling_13_mean,0.05951279754743254
sj,random_forest,optuna,34,,station_max_temp_c_rolling_13_mean,0.058316258822106816
sj,random_forest,optuna,34,,station_min_temp_c_rolling_13_mean,0.04634751811786707
sj,random_forest,optuna,34,,reanalysis_relative_humidity_percent_rolling_14_mean,0.04251043957450231
sj,random_forest,optuna,34,,reanalysis_specific_humidity_g_per_kg_rolling_13_mean,0.038059308555446356
sj,random_forest,optuna,34,,station_min_temp_c_rolling_12_mean,0.037282662494412255
sj,random_forest,optuna,34,,reanalysis_dew_point_temp_k_rolling_14_mean,0.03561037353296217
sj,random_forest,optuna,34,,reanalysis_specific_humidity_g_per_kg_rolling_14_mean,0.027700938132330002
sj,random_forest,optuna,34,,reanalysis_relative_humidity_percent_rolling_13_mean,0.026933732542322654
sj,random_forest,optuna,34,,station_avg_temp_c_rolling_14_mean,0.020596695881349523
sj,random_forest,optuna,34,,reanalysis_relative_humidity_percent_rolling_12_mean,0.015977384958435453
sj,random_forest,optuna,34,,reanalysis_dew_point_temp_k_lag_7,0.0128582395852088
sj,random_forest,optuna,34,,reanalysis_dew_point_temp_k_lag_33,0.005816753464132522
sj,random_forest,optuna,34,,station_avg_temp_c_lag_13,0.005515743357754525
sj,random_forest,optuna,34,,reanalysis_precip_amt_kg_per_m2_rolling_10_mean,0.005489120041459215
sj,random_forest,optuna,34,,weekofyear_cos,0.005024674278823421
sj,random_forest,optuna,34,,reanalysis_max_air_temp_k_rolling_14_mean,0.004893706389373736
sj,random_forest,optuna,34,,station_avg_temp_c_rolling_13_mean,0.004680320666524096
sj,random_forest,optuna,34,,reanalysis_dew_point_temp_k_lag_32,0.004631068499317862
sj,random_forest,optuna,34,,reanalysis_specific_humidity_g_per_kg_lag_33,0.004372366224027428
sj,random_forest,optuna,34,,reanalysis_dew_point_temp_k_lag_9,0.0042389814792220095
sj,random_forest,optuna,34,,station_avg_temp_c_lag_12,0.004216782923497231
sj,random_forest,optuna,34,,reanalysis_specific_humidity_g_per_kg_lag_7,0.004192021208427378
sj,random_forest,optuna,34,,reanalysis_max_air_temp_k_rolling_13_mean,0.004160290517503795
sj,random_forest,optuna,34,,station_avg_temp_c_lag_9,0.0035082649461675493
sj,random_forest,optuna,34,,ndvi_ne_lag_31,0.0034565446636715233
sj,random_forest,optuna,34,,reanalysis_dew_point_temp_k_lag_8,0.0033348371274490728
sj,random_forest,optuna,34,,reanalysis_min_air_temp_k_lag_33,0.0032858358667734763
sj,random_forest,optuna,34,,reanalysis_specific_humidity_g_per_kg_lag_9,0.00308229856106804
sj,random_forest,optuna,34,,reanalysis_max_air_temp_k_rolling_12_mean,0.003081158894410438
sj,random_forest,optuna,34,,reanalysis_specific_humidity_g_per_kg_lag_32,0.00291123739767034
sj,random_forest,optuna,34,,reanalysis_air_temp_k_rolling_13_mean,0.0027275279882324707
sj,random_forest,optuna,34,,reanalysis_precip_amt_kg_per_m2_rolling_9_mean,0.002566964783015172
sj,random_forest,optuna,34,,ndvi_ne_lag_32,0.002487481711025285
sj,random_forest,optuna,34,,reanalysis_precip_amt_kg_per_m2_rolling_8_mean,0.002387716368410587
sj,random_forest,optuna,34,,reanalysis_specific_humidity_g_per_kg_lag_8,0.0023656206016069085
sj,random_forest,optuna,34,,reanalysis_tdtr_k_lag_53,0.0023600510963791687
