city,feature_group,window_weeks,n_features,mean_abs_pearson_corr,median_abs_pearson_corr,max_abs_pearson_corr,top_feature,top_feature_pearson_corr,top_feature_abs_pearson_corr
iq,ndvi,1,4,0.02605008707846935,0.026803093426019824,0.040642556814237715,ndvi_se,-0.040642556814237715,0.040642556814237715
iq,ndvi,2,4,0.032081213119947015,0.02173332486888099,0.08004753190268898,ndvi_se,-0.08004753190268898,0.08004753190268898
iq,ndvi,3,4,0.03927769227019031,0.028247547969305925,0.09995617174051392,ndvi_se,-0.09995617174051392,0.09995617174051392
iq,ndvi,4,4,0.040738225421507096,0.02553880576444116,0.10682159648149675,ndvi_se,-0.10682159648149675,0.10682159648149675
iq,ndvi,5,4,0.03542472058462091,0.022939171461801598,0.09068465917864584,ndvi_se,-0.09068465917864584,0.09068465917864584
iq,ndvi,6,4,0.046240850794922586,0.04299303758851518,0.07727937639737606,ndvi_se,-0.07727937639737606,0.07727937639737606
iq,ndvi,7,4,0.053121715097016346,0.05316897550938618,0.06491699035674381,ndvi_se,-0.06491699035674381,0.06491699035674381
iq,ndvi,8,4,0.0571321536049097,0.05899794712254764,0.06548236699954374,ndvi_ne,0.06548236699954374,0.06548236699954374
iq,ndvi,9,4,0.06666642789550455,0.07831189731689031,0.0830133733252018,ndvi_ne,0.0830133733252018,0.0830133733252018
iq,ndvi,10,4,0.07449520429571234,0.09201854323308872,0.09865168455966082,ndvi_sw,0.09865168455966082,0.09865168455966082
iq,ndvi,11,4,0.08586759880055952,0.10909434678125574,0.11522610030858155,ndvi_sw,0.11522610030858155,0.11522610030858155
iq,ndvi,12,4,0.10215098629786823,0.1330408799331192,0.1405172664674259,ndvi_sw,0.1405172664674259,0.1405172664674259
iq,ndvi,13,4,0.11149806303515518,0.14382529572854919,0.15534573918698116,ndvi_sw,0.15534573918698116,0.15534573918698116
iq,ndvi,14,4,0.1197770253321416,0.15361973904289317,0.16243491656597747,ndvi_sw,0.16243491656597747,0.16243491656597747
iq,precipitation,1,1,0.09062770970838817,0.09062770970838817,0.09062770970838817,precipitation_amt_mm,0.09062770970838817,0.09062770970838817
iq,precipitation,2,1,0.09515571383911056,0.09515571383911056,0.09515571383911056,precipitation_amt_mm,0.09515571383911056,0.09515571383911056
iq,precipitation,3,1,0.11708810755579305,0.11708810755579305,0.11708810755579305,precipitation_amt_mm,0.11708810755579305,0.11708810755579305
iq,precipitation,4,1,0.14606526470392403,0.14606526470392403,0.14606526470392403,precipitation_amt_mm,0.14606526470392403,0.14606526470392403
iq,precipitation,5,1,0.14842048591755785,0.14842048591755785,0.14842048591755785,precipitation_amt_mm,0.14842048591755785,0.14842048591755785
iq,precipitation,6,1,0.15794083774757237,0.15794083774757237,0.15794083774757237,precipitation_amt_mm,0.15794083774757237,0.15794083774757237
iq,precipitation,7,1,0.16137445854170065,0.16137445854170065,0.16137445854170065,precipitation_amt_mm,0.16137445854170065,0.16137445854170065
