city,phase,epoch,train_loss,val_mae
sj,holdout,1,33.06479934409813,34.86538314819336
sj,holdout,2,29.46264175132469,29.711538314819336
sj,holdout,3,25.859260064584237,25.884614944458008
sj,holdout,4,23.964589048314977,24.5
sj,holdout,5,22.49302796964292,28.19230842590332
sj,holdout,6,21.81435920574047,27.538461685180664
sj,holdout,7,21.288742277357315,28.076923370361328
sj,holdout,8,21.00736536803069,28.769229888916016
sj,holdout,9,20.899317458823877,25.923076629638672
sj,holdout,10,20.478731367323135,29.94230842590332
sj,holdout,11,20.249496742531104,32.80769348144531
sj,holdout,12,20.14589825382939,30.173076629638672
sj,holdout,13,19.94950771331787,28.596153259277344
sj,holdout,14,19.564007176293266,28.30769157409668
sj,holdout,15,19.479155293217413,34.17307662963867
sj,holdout,16,19.56674473373978,29.538461685180664
sj,prediction,1,32.49962885626431,
sj,prediction,2,28.623679588580952,
sj,prediction,3,25.056350477810565,
sj,prediction,4,23.043230385615907,
iq,holdout,1,6.926682608468192,5.096153736114502
iq,holdout,2,6.163813539913723,4.5
iq,holdout,3,5.604307923998151,4.82692289352417
iq,holdout,4,5.321501425334385,5.07692289352417
iq,holdout,5,5.204434939793178,5.17307710647583
iq,holdout,6,5.057601060186114,5.25
iq,holdout,7,4.906003338950021,5.192307472229004
iq,holdout,8,4.82895747252873,5.288461685180664
iq,holdout,9,4.557258537837437,5.615384578704834
iq,holdout,10,4.587017212595258,5.634615421295166
iq,holdout,11,4.294459530285427,5.846153736114502
iq,holdout,12,4.336075757231031,6.365384578704834
iq,holdout,13,4.359174847602844,6.461538314819336
iq,holdout,14,4.096534524645124,7.038461685180664
iq,prediction,1,6.732709467411041,
iq,prediction,2,5.727523490786552,
