number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_learning_rate,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_fold_10_mae,user_attrs_fold_10_year,user_attrs_fold_11_mae,user_attrs_fold_11_year,user_attrs_fold_12_mae,user_attrs_fold_12_year,user_attrs_fold_13_mae,user_attrs_fold_13_year,user_attrs_fold_14_mae,user_attrs_fold_14_year,user_attrs_fold_15_mae,user_attrs_fold_15_year,user_attrs_fold_16_mae,user_attrs_fold_16_year,user_attrs_fold_1_mae,user_attrs_fold_1_year,user_attrs_fold_2_mae,user_attrs_fold_2_year,user_attrs_fold_3_mae,user_attrs_fold_3_year,user_attrs_fold_4_mae,user_attrs_fold_4_year,user_attrs_fold_5_mae,user_attrs_fold_5_year,user_attrs_fold_6_mae,user_attrs_fold_6_year,user_attrs_fold_7_mae,user_attrs_fold_7_year,user_attrs_fold_8_mae,user_attrs_fold_8_year,user_attrs_fold_9_mae,user_attrs_fold_9_year,state
12,17.597355991601944,2026-06-17 16:09:36.248944,2026-06-17 16:09:47.926815,0 days 00:00:11.677871,16,0.17864261364589823,64,0.0007995026250200655,2,24,8.04317021074123e-06,8.961538314819336,2000.0,9.826923370361328,2001.0,10.442307472229004,2002.0,9.115385055541992,2003.0,6.596153736114502,2004.0,11.538461685180664,2005.0,4.019230842590332,2006.0,23.653846740722656,1991,15.019230842590332,1992.0,8.711538314819336,1993.0,74.92308044433594,1994.0,12.480769157409668,1995.0,12.75,1996.0,8.326923370361328,1997.0,55.269229888916016,1998.0,9.923076629638672,1999.0,COMPLETE
13,29.326923370361328,2026-06-17 16:09:47.934073,2026-06-17 16:09:48.089459,0 days 00:00:00.155386,64,0.1212964807349594,64,0.0037741745054100093,2,16,2.1113366683985045e-05,,,,,,,,,,,,,,,29.326923370361328,1991,,,,,,,,,,,,,,,,,PRUNED
14,30.05769157409668,2026-06-17 16:09:48.095648,2026-06-17 16:09:48.274521,0 days 00:00:00.178873,16,0.19779377413382776,128,0.0009129298028506763,1,12,0.0009839961170715113,,,,,,,,,,,,,,,30.05769157409668,1991,,,,,,,,,,,,,,,,,PRUNED
15,32.67307662963867,2026-06-17 16:09:48.280696,2026-06-17 16:09:48.434185,0 days 00:00:00.153489,16,0.07997194667178048,64,0.0019035638734505949,2,24,0.00011561125909560324,,,,,,,,,,,,,,,32.67307662963867,1991,,,,,,,,,,,,,,,,,PRUNED
16,16.820913523435593,2026-06-17 16:09:48.440448,2026-06-17 16:09:51.776675,0 days 00:00:03.336227,64,0.07353242938656437,128,0.0040655055965326745,1,24,0.0008604542944735703,10.34615421295166,2000.0,8.923076629638672,2001.0,10.038461685180664,2002.0,5.903846263885498,2003.0,5.07692289352417,2004.0,14.769230842590332,2005.0,4.615384578704834,2006.0,16.69230842590332,1991,16.884614944458008,1992.0,9.807692527770996,1993.0,78.80769348144531,1994.0,11.788461685180664,1995.0,9.173076629638672,1996.0,9.865385055541992,1997.0,45.69230651855469,1998.0,10.75,1999.0,COMPLETE
17,17.448317408561707,2026-06-17 16:09:51.783829,2026-06-17 16:09:55.267271,0 days 00:00:03.483442,64,0.07048790891662286,128,0.004852636524765383,1,24,0.001427204698716918,14.461538314819336,2000.0,11.0,2001.0,10.90384578704834,2002.0,12.40384578704834,2003.0,5.384615421295166,2004.0,12.519230842590332,2005.0,3.846153736114502,2006.0,17.269229888916016,1991,13.980769157409668,1992.0,9.40384578704834,1993.0,77.67308044433594,1994.0,14.038461685180664,1995.0,8.461538314819336,1996.0,10.826923370361328,1997.0,46.5,1998.0,10.5,1999.0,COMPLETE
18,33.75,2026-06-17 16:09:55.275129,2026-06-17 16:09:55.394108,0 days 00:00:00.118979,64,0.24771709871232897,128,0.002293441273003354,1,16,0.00848488947638953,,,,,,,,,,,,,,,33.75,1991,,,,,,,,,,,,,,,,,PRUNED
19,28.211538314819336,2026-06-17 16:09:55.400513,2026-06-17 16:09:55.537661,0 days 00:00:00.137148,64,0.06360177569722963,128,0.004964011554681199,1,8,0.002326634251154909,,,,,,,,,,,,,,,28.211538314819336,1991,,,,,,,,,,,,,,,,,PRUNED
20,27.80769157409668,2026-06-17 16:09:55.545127,2026-06-17 16:09:55.681487,0 days 00:00:00.136360,64,0.11065973834886687,128,0.00336507547551077,1,12,0.00044935225862819815,,,,,,,,,,,,,,,27.80769157409668,1991,,,,,,,,,,,,,,,,,PRUNED
21,17.44230779012044,2026-06-17 16:09:55.688807,2026-06-17 16:09:55.972193,0 days 00:00:00.283386,64,0.051836127033228895,128,0.004749503513558251,1,24,0.0020374415187154457,,,,,,,,,,,,,,,22.75,1991,15.038461685180664,1992.0,14.538461685180664,1993.0,,,,,,,,,,,,,PRUNED
